feature,importance
BsmtCond_Missing,5.2153205755358295e-05
RoofMatl_ClyTile,5.1373794797663066e-05
BsmtFinType2_LwQ,5.084618736604875e-05
FireplaceQu_Ex,4.994176973815283e-05
HouseStyle_1.5Unf,4.562174435824727e-05
Neighborhood_Timber,4.524809117396602e-05
Functional_Min1,4.436051489717675e-05
PoolQC_Gd,4.1057758191375104e-05
Neighborhood_Gilbert,4.105395951885181e-05
Functional_Sev,3.9713805169101034e-05
BldgType_Twnhs,3.928467767933127e-05
MSZoning_FV,3.674253012782051e-05
BldgType_2fmCon,3.5653231837413456e-05
HouseStyle_2.5Unf,3.541256892467286e-05
LotShape_IR2,3.5022377112955864e-05
BsmtFinType1_Missing,3.214784021146962e-05
BsmtFinType2_Rec,3.0323257139691993e-05
Exterior2nd_AsbShng,3.0141957913447086e-05
Exterior1st_Stucco,2.9824584967419828e-05
PoolArea,2.980529031416213e-05
LotShape_IR3,2.9791098760057895e-05
SaleType_ConLD,2.9733281658733708e-05
Exterior2nd_Stucco,2.866378609909336e-05
MiscFeature_Shed,2.8098480577362862e-05
RoofMatl_Tar&Grv,2.8081945169559597e-05
Exterior2nd_BrkFace,2.7773225832031088e-05
Exterior1st_WdShing,2.441341913143794e-05
BsmtFinType2_Missing,2.4020607855398927e-05
GarageQual_Gd,2.3246093168471026e-05
ExterCond_Po,2.2743412032536978e-05
SaleCondition_Alloca,2.263267397778019e-05
Neighborhood_Veenker,2.2390144727689286e-05
Neighborhood_BrDale,2.2341046336909792e-05
LotConfig_FR3,2.03499989955745e-05
Heating_GasW,1.963316371162135e-05
SaleType_CWD,1.9404083812878867e-05
Foundation_Slab,1.8593675378378284e-05
BsmtQual_Missing,1.737888216773605e-05
Condition1_PosA,1.681392142822073e-05
BsmtFinType2_ALQ,1.637069345062695e-05
LandSlope_Sev,1.6313000017581583e-05
Electrical_FuseP,1.619950541247987e-05
Neighborhood_Blmngtn,1.5217773453259536e-05
Condition1_RRAn,1.4700070898499245e-05
Heating_OthW,1.4002549121538795e-05
HouseStyle_2.5Fin,1.3957203025931653e-05
Condition2_Artery,1.3440785365227572e-05
GarageType_Basment,1.3008029179066391e-05
HouseStyle_SFoyer,7.971536257187273e-06
FireplaceQu_Fa,6.999461300942394e-06
Condition1_RRNn,6.823888701874389e-06
Street_Pave,6.557213366253681e-06
Heating_Floor,6.132431811352956e-06
SaleType_ConLw,6.090188782168411e-06
Neighborhood_NPkVill,5.403358688337957e-06
RoofMatl_Metal,5.30653756568192e-06
MiscFeature_Gar2,5.15264313287484e-06
Exterior2nd_Stone,4.985467729347285e-06
Neighborhood_MeadowV,4.917567762383801e-06
GarageCond_Po,4.4864574164635784e-06
Foundation_Stone,4.2637694303261365e-06
Exterior1st_AsphShn,4.025866673844412e-06
MiscFeature_Othr,3.7114941925071763e-06
GarageCond_Ex,3.6494684850716224e-06
SaleCondition_AdjLand,3.5588083607414655e-06
SaleType_Oth,3.3320490640407416e-06
RoofMatl_WdShake,3.2313966311214673e-06
Heating_Wall,2.927608072117553e-06
SaleType_ConLI,2.7896023964200802e-06
GarageType_2Types,2.7786025413497824e-06
SaleType_Con,2.7454078072029796e-06
Exterior1st_Stone,2.7172748313684747e-06
GarageCond_Gd,2.518675752375843e-06
BsmtFinType2_GLQ,2.189119676204403e-06
Fence_MnWw,2.071049938598294e-06
Foundation_Wood,2.0644018878642305e-06
Condition2_Feedr,1.603243200991317e-06
RoofStyle_Mansard,1.435778891515652e-06
Exterior2nd_AsphShn,1.2648454248965058e-06
Exterior1st_ImStucc,1.1451529970890523e-06
Condition2_PosN,1.1203952749363986e-06
Condition1_RRNe,1.109717371973161e-06
Exterior2nd_CBlock,9.823724644422374e-07
RoofMatl_WdShngl,8.939474988827864e-07
PoolQC_Ex,8.808169727114244e-07
Street_Grvl,7.248399832587365e-07
PoolQC_Fa,6.50273510942895e-07
GarageQual_Po,6.131412719676709e-07
ExterCond_Ex,5.650631882798301e-07
Condition2_RRNn,3.2816119963511695e-07
Utilities_NoSeWa,2.9347858027129575e-07
Electrical_Missing,2.4913936644758057e-07
Condition2_RRAn,2.149510271682764e-07
GarageQual_Ex,1.8812967039042499e-07
HeatingQC_Po,1.8479207380717624e-07
Neighborhood_Blueste,1.727045480479927e-07
Utilities_AllPub,1.369090458738702e-07
RoofStyle_Shed,9.355409368974859e-08
Exterior1st_CBlock,8.907135417500414e-08
MiscFeature_TenC,8.01984654716181e-08
Exterior2nd_Other,6.953015792696268e-08
Condition2_PosA,1.7251207783550372e-08
RoofMatl_Roll,1.0313307532835048e-08
BsmtCond_Po,6.1853310658249214e-09
Condition2_RRAe,4.933673220697005e-09
